id,area,topic,status,severity,confidence,evidence,recommended_action
F-001,catalogue,fidelity disclosure,177 of 213 declared slug entries are generique while cards do not show fidelity,P0,high,src/lib/models-data.ts; src/components/model-card.tsx,Show fidelity and active-state labels or remove unverified entries from public catalogue
F-002,access,multimodal availability,Non-admin catalog filters out text audio and music,P0,high,src/routes/app.models.tsx; src/routes/app.models.$slug.tsx,Expose verified modalities to creators or market the launch as image/video-only
F-003,access,canvas and workflows,Canvas and workflow routes require admin role,P0,high,src/routes/canvas/index.tsx; src/routes/app.workflows.tsx,Introduce creator entitlement or remove admin-only gate for intended users
F-004,access,developer platform,Developer portal is admin-only,P1,high,src/routes/app.developers.tsx; src/routes/app.tsx,Define whether API is a creator/B2B launch feature and expose it with explicit entitlement
F-005,pricing,entry-point consistency,Browser/canvas use unit-aware nodeCostUsd while public API/workflow paths charge base model price,P0,high,src/lib/api/shared.ts; server/api/v1/generate.ts; server/api/v1/workflows/run.ts,Create one server-owned quote/debit contract and contract-test every entry point
F-006,payments,crypto routing,Account UI intentionally routes crypto selection through Stripe fallback path; Stripe account/mode/region capability remains unverified,P1,medium-high,src/routes/app.account.tsx; src/lib/api/payments.ts,Preserve intentional Stripe routing and verify provider/account support; show explicit unavailable state if unsupported
F-007,payments,Alipay routing,Alipay is intentionally requested through Stripe but live account/mode capability is unverified,P1,medium,src/routes/app.account.tsx; src/lib/api/payments.ts,Preserve intentional Stripe routing and show accurate availability based on verified provider capability
F-008,agent,proposal persistence,agentRun authenticates but does not attach userId/workflow to runAgent output,P1,high,src/lib/api/agent-run.ts; src/lib/agent.ts,Persist proposals against the authenticated user/workflow before apply
F-009,agent,model registry drift,Agent model configuration contains names separate from current catalogue and fidelity state,P1,high,src/lib/agent.ts; src/lib/models-data.ts,Generate agent model options from verified shared registry
F-010,truthfulness,public copy,Landing claims 200+ models, all modalities, best-model routing, and Payable partout while normal users see narrower scope,P0,high,src/routes/index.tsx; src/routes/app.models.tsx; src/routes/app.tsx,Narrow copy or close the capability/access gap
F-011,truthfulness,wall provenance,Wall asserts every render is generated at displayed price but is curated static data and modal does not show price provenance,P1,medium,src/lib/wall-data.ts; local runtime wall modal,Attach verified provenance and price metadata to each showcase item
F-012,visual,above-fold hierarchy,Live preview is polished but sparse and does not show actual creation workspace above the fold,P2,high,local runtime /app-preview,Add an interactive creation entry or workflow preview to hero
F-013,visual,simulator completeness,Local extracted runtime shows image/video/voice simulator rows populated while text/music rows are empty,P1,high,local runtime /app-preview; src/components/credit-simulator.tsx,Remove empty rows or populate verified text/music examples
F-014,visual,auth continuity,Auth screens are clean but do not explain first post-signup action or core value,P2,high,local runtime /auth/sign-up and /auth/sign-in,Add post-auth onboarding and first-win path
F-015,operations,live evidence,Local audit did not exercise live Neon/KIE/FedaPay/Stripe/R2 or authenticated creator flows,P1,high,scope limitation,Run staging integration matrix and attach IDs/timestamps to launch log
F-016,operations,endpoint documentation,Registry has 192 unique raw KIE endpoint identifiers vs 171 documented paths with normalization differences,P1,medium,src/lib/models-data.ts; KIE-ENDPOINTS.md,Create exact normalized endpoint contract test and regenerate docs
